efi_key,unit,company_key,member_firm_code,profit_center_code,cost_center_code,gl_account_code,fe_person_number,fe_practice_group_key,fe_office_key,fe_team_key,lead_partner_person_number,lead_partner_practice_group_key,lead_partner_office_key,lead_partner_team_key,matter_number,vendor_code,document_text,document_date,document_number,transaction_document_type_key,posting_period,posting_date,document_currency_code,actual_amount_dc,office_currency_code,actual_amount_oc,group_currency_code,actual_amount_gc,budget_amount_gc,forecast_amount_gc,last_updated_date_utc_at_source,_ingest_date,_source_file,_source_system,_table,_lineage_id,_effective_start_datetime,_effective_end_datetime,_current_flag,hashed_pk
-1,Actual,SG11,NRFEMEA,SIN1,SIN1BF1275,6010000000,Unknown,BF,SIN1,1275,0,#,#,#,#,#,SCF1 Secretaries Social Security Jan 26 Alloc to S,2026-01-30,100108088,SA,202601,2026-01-30,SGD,516.63,SGD,516.63,USD,397.9373,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,f9d0e41bdae0db285ac436693f45a450
-1,Actual,HK11,NRFEMEA,HKG1,HKG1DR1761,4003000000,Unknown,DR,HKG1,1761,131387,DR,HKG1,1761,1001284813,#,#,2026-03-03,9375031021,RV,202603,2026-03-03,HKD,-10677.0,HKD,-10677.0,USD,-1361.6747,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,bf03c94ca38b3ec8277758611bec12ac
-1,Actual,US11,NRFUS,HOU1,HOU1CS1501,6010100000,Unknown,CS,HOU1,1501,0,#,#,#,#,#,ER   Medical,2026-02-28,100245229,SA,202602,2026-02-25,USD,3646.63,USD,3646.63,USD,3646.63,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,403e28433164e7f529ac7e1ad65840f0
-1,Actual,SG12,NRFEMEA,SIN3,SIN3FN3782,6230200000,Unknown,FN,SIN3,3782,0,#,#,#,#,#,Accrued Audit Fee for Jan26,2026-01-31,100021768,1Z,202602,2026-02-01,SGD,-2117.5,SGD,-2117.5,USD,-1631.0167,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,7de5f3d59f2424ff560fe81dde3d0473
-1,Actual,CA12,NRFC,MTR2,MTR2IP2253,4000000000,Unknown,IP,MTR2,2253,102438,IP,MTR2,2253,1001320012,#,#,2026-02-04,9110200348,RV,202602,2026-02-04,CAD,250.0,CAD,250.0,USD,188.983,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,827296dee989a17bc65dc4a4bfdfd5cf
-1,Actual,CN13,NRFEMEA,SGH2,SGH2BF1252,5400000000,Unknown,BF,SGH2,1252,145686,BF,SGH2,1252,1001321864,#,#,2026-01-29,9581003908,RV,202601,2026-01-29,EUR,14.75,CNY,121.73,USD,16.6913,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,7def93a47f8dac5f22433c2a8242b16d
-1,Actual,US11,NRFUS,HOU1,HOU1DR1775,4000000000,Unknown,DR,HOU1,1775,153030,DR,NYC1,1775,1001354151,#,#,2025-09-15,100247665,AB,202603,2026-03-17,USD,-2422.0,USD,-2422.0,USD,-2422.0,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,9f69b36b4d31ba14f7ef6e22b2191e61
-1,Actual,CA11,NRFC,OTT1,OTT1DR1754,4003000000,Unknown,DR,OTT1,1754,102118,CS,MTR1,1501,1000311025,#,#,2026-02-17,9090841663,RV,202602,2026-02-17,CAD,-187.88,CAD,-187.88,USD,-142.0245,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,6092310ed043dda8cdd1ff84ecbdc3c7
-1,Actual,PL11,NRFEMEA,WRS1,WRS1BF1279,4000000000,Unknown,BF,WRS1,1279,110285,BF,WRS1,1279,1001349692,#,#,2026-03-25,9450010497,RV,202603,2026-03-25,EUR,2000.0,PLN,8545.6,USD,2323.0577,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,76556a87aa4873985e787973831a57ae
-1,Actual,NL11,NRFEMEA,AMS1,AMS1FN3757,6720000000,Unknown,FN,AMS1,3757,0,#,#,#,#,5000038391,#,2026-01-14,2000037458,ZP,202601,2026-01-14,GBP,0.0,EUR,2.18,USD,2.4756,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 17:02:10.946207,9999-12-31 23:59:59,true,503f0726000a33dc2305434065ec5238
